Alpha,r,Predicted Risk Mean,True Risk Mean,True Objective,Predicted Objective,Regret,Normalized Regret
0,0,2.5827026,4.257333141941635,284164.8967523623,176641.929562552,107522.97,0.38
0,1,3.8981225,5.396998239690797,284164.8967523623,176641.929562552,107522.97,0.38
0.5,0,2.5827026,4.257333141941635,73629.28402131515,54484.06560517558,19145.22,0.26
0.5,1,3.8981225,5.396998239690797,73629.28402131515,54484.06560517558,19145.22,0.26
0.9,0,2.5827026,4.257333141941635,361873.25770081853,361376.61163515283,496.65,0.00
0.9,1,3.8981225,5.396998239690797,361873.25770081853,361376.61163515283,496.65,0.00
1,0,2.5827026,4.257333141941635,-44900.93208565447,-44900.92935597051,-0.00,-0.00
1,1,3.8981225,5.396998239690797,-44900.93208565447,-44900.92935597051,-0.00,-0.00
2,0,2.5827026,4.257333141941635,-834952.0385505655,-3321639.5900116917,2486687.55,2.98
2,1,3.8981225,5.396998239690797,-834952.0385505655,-3321639.5900116917,2486687.55,2.98
inf,0,2.5827026,4.257333141941635,0.0006267983099363225,2.4123876167136087e-06,0.00,1.00
inf,1,3.8981225,5.396998239690797,0.0006267983099363225,2.4123876167136087e-06,0.00,1.00
